ec5_uuid,created_at,uploaded_at,created_by,title,2_Species,lat_3_GPS_coordinates,long_3_GPS_coordinates,accuracy_3_GPS_coordinates,UTM_Northing_3_GPS_coordinates,UTM_Easting_3_GPS_coordinates,UTM_Zone_3_GPS_coordinates,4_Taxa,5_Photo,6_Audio,7_Video,8_Latin_binomial,9_Comments,10_Date,11_Circumstance
e44a84ed-d50c-4205-8635-b86efac0c370,2021-05-02T10:59:04.234Z,2021-05-02T16:22:03.000Z,robewers01@googlemail.com,"Helicidae Cepaea sp 02/05/2021",Helicidae,51.420942,-0.820036,15,5698891,651570,30U,Invertebrate,e44a84ed-d50c-4205-8635-b86efac0c370_1619953104.jpg,,,"Cepaea sp",,02/05/2021,Wild
8c93b21d-44d8-4d9a-b128-31deef025ac9,2021-05-02T10:01:24.196Z,2021-05-02T16:21:59.000Z,robewers01@googlemail.com,"Vespidae Vespula sp 02/05/2021",Vespidae,51.42063,-0.820196,9,5698856,651560,30U,Invertebrate,,,,"Vespula sp",,02/05/2021,Wild
d84b3d5f-26b5-4416-940e-d23be0477f68,2021-05-02T09:23:15.715Z,2021-05-02T16:21:55.000Z,robewers01@googlemail.com,"Celastraceae Euonymus sp 02/05/2021",Celastraceae,51.420674,-0.820194,16,5698861,651560,30U,Plant,d84b3d5f-26b5-4416-940e-d23be0477f68_1619947317.jpg,,,"Euonymus sp",,02/05/2021,Captive
50d5c539-bd5e-4d74-9c6e-1b89dcc712e9,2021-05-02T09:17:26.817Z,2021-05-02T16:21:51.000Z,robewers01@googlemail.com,"Caprifoliaceae Weigela sp 02/05/2021",Caprifoliaceae,51.4206,-0.820403,22,5698852,651546,30U,Plant,50d5c539-bd5e-4d74-9c6e-1b89dcc712e9_1619946990.jpg,,,"Weigela sp",,02/05/2021,Captive
5f676b93-a4e8-4cb9-bc71-a61ced3decf9,2021-05-02T09:13:59.057Z,2021-05-02T16:21:46.000Z,robewers01@googlemail.com,"Megachilidae Osmia sp 02/05/2021",Megachilidae,51.420668,-0.820187,14,5698860,651561,30U,Invertebrate,5f676b93-a4e8-4cb9-bc71-a61ced3decf9_1619946793.jpg,,,"Osmia sp","Mason bee",02/05/2021,Wild
88e84b18-250e-461d-bdd4-a5fb739401e9,2021-05-02T09:08:33.950Z,2021-05-02T16:21:42.000Z,robewers01@googlemail.com,"Noctuidae 02/05/2021",Noctuidae,51.420653,-0.820162,5,5698859,651563,30U,Invertebrate,88e84b18-250e-461d-bdd4-a5fb739401e9_1619946510.jpg,,,,,02/05/2021,Wild
60eae860-846e-4fda-b1f1-93b11137d338,2021-05-02T08:59:01.000Z,2021-05-02T16:22:08.000Z,robewers01@googlemail.com,"Thomisidae Philodromus sp 02/05/2021",Thomisidae,51.42063,-0.820138,12,5698856,651564,30U,Invertebrate,60eae860-846e-4fda-b1f1-93b11137d338_1619945930.jpg,,,"Philodromus sp","Crab spider",02/05/2021,Wild
92cb29f7-db3d-48d0-bf5b-9d8cb53150a3,2021-05-02T08:57:46.749Z,2021-05-02T16:21:37.000Z,robewers01@googlemail.com,"Rutaceae Choisya ternata 02/05/2021",Rutaceae,51.420577,-0.820168,16,5698850,651562,30U,Plant,92cb29f7-db3d-48d0-bf5b-9d8cb53150a3_1619945828.jpg,,,"Choisya ternata","Mexican orange",02/05/2021,Captive
0951a15e-c56c-4080-bd31-3d84dcb3a90a,2021-05-02T08:46:12.464Z,2021-05-02T16:21:33.000Z,robewers01@googlemail.com,"Rosaceae Spirea sp 02/05/2021",Rosaceae,51.420585,-0.820248,15,5698851,651557,30U,Plant,0951a15e-c56c-4080-bd31-3d84dcb3a90a_1619945137.jpg,,,"Spirea sp",Meadowsweet,02/05/2021,Captive
413cdc71-8ad6-4150-b81d-0041cd795c13,2021-05-02T08:44:13.075Z,2021-05-02T16:21:29.000Z,robewers01@googlemail.com,"Asteraceae Centaurea sp 02/05/2021",Asteraceae,51.42065,-0.820116,14,5698858,651566,30U,Plant,413cdc71-8ad6-4150-b81d-0041cd795c13_1619945012.jpg,,,"Centaurea sp",Knapweed,02/05/2021,Captive
4b837e4c-5b32-4460-a545-03a65921d8f9,2021-05-02T08:37:08.645Z,2021-05-02T16:21:26.000Z,robewers01@googlemail.com,"Bibionidae Bibio marci 02/05/2021",Bibionidae,51.420555,-0.820152,27,5698848,651564,30U,Invertebrate,4b837e4c-5b32-4460-a545-03a65921d8f9_1619944557.jpg,,,"Bibio marci","Hawthorn fly",02/05/2021,Wild
488190ec-fa27-42cc-a25f-26a81217f7ba,2021-05-01T07:33:26.949Z,2021-05-01T07:33:33.000Z,robewers01@googlemail.com,"Torymidae 30/04/2021",Torymidae,51.420659,-0.820213,20,5698859,651559,30U,Invertebrate,488190ec-fa27-42cc-a25f-26a81217f7ba_1619854395.jpg,,,,,30/04/2021,Wild
fd9e4043-1d50-4017-922e-7c0183cede62,2021-04-30T15:14:45.914Z,2021-05-01T12:29:31.000Z,robewers01@googlemail.com,"Adelidae Adela reaumurella 30/04/2021",Adelidae,51.42056,-0.820161,18,5698848,651563,30U,Invertebrate,fd9e4043-1d50-4017-922e-7c0183cede62_1619795680.jpg,,,"Adela reaumurella","Green longhorn moth",30/04/2021,Wild
e19a67da-de8e-459a-a585-f2bee12f7d43,2021-04-28T18:38:40.284Z,2021-04-28T18:38:55.000Z,robewers01@googlemail.com,"Amaurobiidae Amaurobius sp 28/04/2021",Amaurobiidae,51.420567,-0.820122,16,5698849,651566,30U,Invertebrate,e19a67da-de8e-459a-a585-f2bee12f7d43_1619635074.jpg,,,"Amaurobius sp","Laceweb spider",28/04/2021,Wild
a604cde5-fd09-4cfa-8706-48d2bac1a24d,2021-04-28T18:37:27.338Z,2021-04-28T18:38:54.000Z,robewers01@googlemail.com,"Pholcidae Pholcus phalangioides 28/04/2021",Pholcidae,51.420544,-0.820154,15,5698847,651563,30U,Invertebrate,a604cde5-fd09-4cfa-8706-48d2bac1a24d_1619634989.jpg,,,"Pholcus phalangioides","Long bodied cellar spider",28/04/2021,Wild
2eb27374-ceff-4705-922c-a4f7192e28e8,2021-04-28T07:41:30.987Z,2021-04-28T18:38:52.000Z,robewers01@googlemail.com,"Woodpigeon 28/04/2021",Woodpigeon,51.420621,-0.820224,7,5698855,651558,30U,Bird,,,,,,28/04/2021,Wild
ece8261a-69fa-4c75-9128-c2cf858b5346,2021-04-28T07:41:17.033Z,2021-04-28T18:38:50.000Z,robewers01@googlemail.com,"Blue tit 28/04/2021","Blue tit",51.420622,-0.820216,7,5698855,651559,30U,Bird,,,,,,28/04/2021,Wild
162a80af-105f-4a09-bbf6-3637a7e919d6,2021-04-28T07:41:07.468Z,2021-04-28T18:38:48.000Z,robewers01@googlemail.com,"Great tit 28/04/2021","Great tit",51.420594,-0.820188,8,5698852,651561,30U,Bird,,,,,,28/04/2021,Wild
44bb4ef6-70cb-4cce-8e2b-8f6ef50fd0ae,2021-04-28T07:40:57.862Z,2021-04-28T18:38:46.000Z,robewers01@googlemail.com,"Blackbird 28/04/2021",Blackbird,51.420585,-0.820134,8,5698851,651565,30U,Bird,,,,,,28/04/2021,Wild
4bf86c1f-9819-4c3c-8b9b-760c50d37297,2021-04-28T07:40:46.074Z,2021-04-28T18:38:44.000Z,robewers01@googlemail.com,"Eurasian wren 27/04/2021","Eurasian wren",51.420549,-0.820162,14,5698847,651563,30U,Bird,,,,,,27/04/2021,Wild
22e4b60a-11cd-42e2-b64e-be809c144551,2021-04-24T16:31:44.322Z,2021-04-24T17:44:39.000Z,robewers01@googlemail.com,"Grey squirrel 24/04/2021","Grey squirrel",51.42058,-0.820216,8,5698850,651559,30U,Mammal,,,,,,24/04/2021,Wild
4c72b41f-f5c9-4724-bc1b-6780fa022d09,2021-04-24T16:31:25.960Z,2021-04-24T17:44:37.000Z,robewers01@googlemail.com,"Red kite 24/04/2021","Red kite",51.420579,-0.820193,8,5698850,651561,30U,Bird,,,,,,24/04/2021,Wild
99e5c26c-0771-4078-a145-b7a9783fa2c5,2021-04-24T16:31:16.235Z,2021-04-24T17:44:35.000Z,robewers01@googlemail.com,"House sparrow 24/04/2021","House sparrow",51.420596,-0.820191,8,5698852,651561,30U,Bird,,,,,,24/04/2021,Wild
25efd5e6-49cd-4065-9010-b7f84d533a60,2021-04-24T16:31:06.003Z,2021-04-24T17:44:33.000Z,robewers01@googlemail.com,"Blue tit 24/04/2021","Blue tit",51.420626,-0.820218,8,5698856,651559,30U,Bird,,,,,,24/04/2021,Wild
32bf5f44-1051-4654-b082-5ca5ba25329f,2021-04-24T16:30:55.761Z,2021-04-24T17:44:32.000Z,robewers01@googlemail.com,"Starling 24/04/2021",Starling,51.420584,-0.820196,10,5698851,651560,30U,Bird,,,,,,24/04/2021,Wild
f2a4a1be-0f66-4029-8155-50816908a2f5,2021-04-24T16:28:19.397Z,2021-04-28T18:38:42.000Z,robewers01@googlemail.com,"Syrphidae Eupeodes sp 24/04/2021",Syrphidae,51.42056,-0.820159,14,5698848,651563,30U,Invertebrate,f2a4a1be-0f66-4029-8155-50816908a2f5_1619281667.jpg,,,"Eupeodes sp",,24/04/2021,Wild
90fa9e6b-9e91-4c55-b2c5-c765fcfd4de3,2021-04-24T09:36:37.797Z,2021-04-24T17:44:26.000Z,robewers01@googlemail.com,"Anthomyiidae Leucophora sp 22/04/2021",Anthomyiidae,51.420684,-0.820173,9,5698862,651562,30U,Invertebrate,90fa9e6b-9e91-4c55-b2c5-c765fcfd4de3_1619256964.jpg,,,"Leucophora sp",,22/04/2021,Wild
92cf303f-655c-4189-98ee-39b194a7923f,2021-04-24T09:34:17.149Z,2021-04-24T17:44:25.000Z,robewers01@googlemail.com,"Lamiaceae Lavandula sp 24/04/2021",Lamiaceae,51.420683,-0.820226,9,5698862,651558,30U,Plant,,,,"Lavandula sp",Lavender,24/04/2021,Captive
83655a09-c65c-4456-9640-aaa2dd27329e,2021-04-24T09:32:45.645Z,2021-04-24T17:44:23.000Z,robewers01@googlemail.com,"Rosaceae Rubus sp 24/04/2021",Rosaceae,51.420653,-0.820163,7,5698859,651562,30U,Plant,,,,"Rubus sp",Raspberry,24/04/2021,Captive
97cdbdb6-acce-41d8-8596-e187c2a0b3f7,2021-04-24T09:29:42.849Z,2021-04-24T17:44:21.000Z,robewers01@googlemail.com,"Araneidae 24/04/2021",Araneidae,51.420655,-0.820118,8,5698859,651566,30U,Invertebrate,,,,,,24/04/2021,Wild
5cfedc09-d9f5-4dce-aaad-32e49df4467a,2021-04-24T09:28:20.435Z,2021-04-24T17:44:19.000Z,robewers01@googlemail.com,"Woodpigeon 24/04/2021",Woodpigeon,51.420671,-0.820212,7,5698861,651559,30U,Bird,,,,,,24/04/2021,Wild
a02488ee-7d70-4a6d-a3f1-bfb1adc310a4,2021-04-24T09:28:07.566Z,2021-04-24T17:44:18.000Z,robewers01@googlemail.com,"Robin 24/04/2021",Robin,51.420665,-0.820216,5,5698860,651559,30U,Bird,,,,,,24/04/2021,Wild
13c71aa3-f693-40e5-83ab-7b5c9f8b29c7,2021-04-24T09:27:43.096Z,2021-04-24T17:44:16.000Z,robewers01@googlemail.com,"Great tit 24/04/2021","Great tit",51.420655,-0.820211,8,5698859,651559,30U,Bird,,,,,,24/04/2021,Wild
9e52560d-f643-459a-b350-03cfc3bad198,2021-04-24T09:27:14.713Z,2021-04-24T17:44:14.000Z,robewers01@googlemail.com,"Magpie 24/04/2021",Magpie,51.420695,-0.820226,29,5698863,651558,30U,Bird,,,,,,24/04/2021,Wild
3b9f3975-ffe8-4d48-b2f3-510991ff0e45,2021-04-24T09:26:18.652Z,2021-04-24T17:44:12.000Z,robewers01@googlemail.com,"Blackcap 24/04/2021",Blackcap,51.420662,-0.82013,21,5698860,651565,30U,Bird,,,,,,24/04/2021,Wild
cd1fb6ad-5050-4ddc-ad1d-d525fb61a5de,2021-04-22T16:17:52.580Z,2021-04-24T17:44:28.000Z,robewers01@googlemail.com,"Vespidae Vespula vulgaris 22/04/2021",Vespidae,51.420615,-0.820089,12,5698855,651568,30U,Invertebrate,cd1fb6ad-5050-4ddc-ad1d-d525fb61a5de_1619108261.jpg,,,"Vespula vulgaris","Common European yellowjacket",22/04/2021,Wild
a8462f00-c37b-476d-9042-b961c25ace3d,2021-04-19T15:20:19.653Z,2021-04-21T20:48:42.000Z,robewers01@googlemail.com,"Coccinellidae Coccinella septempunctata 19/04/2021",Coccinellidae,51.420934,-0.816156,12,5698898,651840,30U,Invertebrate,a8462f00-c37b-476d-9042-b961c25ace3d_1618845604.jpg,,,"Coccinella septempunctata","7 spotted ladybird",19/04/2021,Wild
eff5363e-6664-4e04-a1f5-5b33b4abe050,2021-04-18T15:15:55.620Z,2021-04-18T15:16:20.000Z,robewers01@googlemail.com,"House sparrow 18/04/2021","House sparrow",51.420566,-0.820175,16,5698849,651562,30U,Bird,,,,,,18/04/2021,Wild
ecec793e-37ee-4ff4-b12e-a7844ea66d3c,2021-04-18T15:15:31.292Z,2021-04-18T15:16:18.000Z,robewers01@googlemail.com,"Apidae Bombus sp 18/04/2021",Apidae,51.420563,-0.820184,13,5698849,651561,30U,Invertebrate,,,,"Bombus sp",Bumblebee,18/04/2021,Wild
5418d041-1b23-422a-9bc7-2f587673e873,2021-04-18T14:32:35.419Z,2021-04-18T15:16:16.000Z,robewers01@googlemail.com,"Apidae Melecta albifrons 18/04/2021",Apidae,51.42055,-0.820211,15,5698847,651559,30U,Invertebrate,5418d041-1b23-422a-9bc7-2f587673e873_1618756314.jpg,,,"Melecta albifrons","Common mourning bee",18/04/2021,Wild
4a6a08fb-f50d-42ac-9754-97b71a497731,2021-04-18T13:18:02.818Z,2021-04-18T15:16:14.000Z,robewers01@googlemail.com,"Limacidae Limacus sp 18/04/2021",Limacidae,51.420579,-0.820095,25,5698851,651567,30U,Invertebrate,4a6a08fb-f50d-42ac-9754-97b71a497731_1618751763.jpg,,,"Limacus sp","Cellar slug",18/04/2021,Wild
